,Aminoglycoside,Tetracycline ,Phenicol,Multidrug ,"Macrolide antibiotic,lincosamide antibiotic,streptogramin antibiotic",Nucleoside antibiotic,Peptide antibiotic,Nitroimidazole antibiotic,Fluoroquinolone,Aminocoumarin antibiotic,Beta-lactam,Antibacterial free fatty acids,Triclosan,Fosfomycin,Diaminopyrimidine,Sulfonamide antibiotic,Rifampicin,Mupirocin,Bicyclomycin,Acridine dye,Fusidic acid
AL0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH0001,0,31.26733479,0,57.5737846,0,0,0,0,123.7895121,0,0,0,0,0,0,0,0,0,0,0,34.50279216
CH0002,0,22.95035748,0,4.787461701,19.25652073,0,0,0,24.97665299,0,13.41388114,0,0,0,0,0,0,0,0,0,10.95304531
CH0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH0012,170.0153575,29.97853479,186.0699745,1763.7647,56.75315224,0,149.1523932,0,219.9701443,0,141.5281849,0,309.8158013,88.07395172,0,0,0,0,128.4161762,0,0
CH0016,0,16.22402787,0,59.15760394,0,0,0,0,22.95060433,0,12.0727667,0,0,0,0,0,0,0,0,0,0
CH0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH0020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH0023,0,73.32581462,8.810589712,77.81561513,37.1951439,0,0,0,8.804736374,0,0,0,17.11241084,0,0,0,0,0,0,0,0
CH0030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH0035,7.998692973,38.80161959,0,26.70626475,50.16379485,0,0,0,76.02097265,0,7.71675755,0,0,0,0,0,0,0,0,0,0
CH0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH0050,0,0,0,58.9048545,31.53585146,0,60.70732355,0,41.50530408,0,12.80900024,0,0,0,0,0,0,0,0,0,0
CH0055,0,0,0,195.5601871,0,0,0,0,47.42741147,0,153.1935992,0,0,74.88711516,0,0,0,0,0,0,0
DU0002,0,0,0,113.9854243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0004,0,8.56836425,0,17.44514727,22.4759766,0,0,0,8.591209837,0,0,0,0,0,0,0,0,0,0,0,0
DU0005,0,239.4933751,2.29401973,7.633058434,23.97768969,0,0,0,151.7839148,0,0,0,0,0,0,0,0,0,0,0,0
DU0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0010,0,84.05458842,0,299.2960878,51.92194268,0,0,0,110.7411007,0.589913692,0,0,0,0,0,0,0,0,0,0,0
DU0012,0,0,0,84.30629996,0,0,28.45684488,0,90.31143039,0,0,0,28.06515837,0,0,0,0,0,0,0,0
DU0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0017,0,8.092486912,0,42.0999178,8.745119145,0,0,0,94.50986051,0,242.3925515,0,0,0,2.230809417,0,0,0,0,2.550988123,0
DU0019,44.61067139,68.19491948,6.790076924,180.0573809,17.99204471,0,25.06417983,0,295.5634595,0,36.60369763,0,5.197422807,0,0,0,0,0,0,0,0
DU0034,27.9666171,70.87311185,21.69454667,427.4637486,89.2206834,0,27.91114845,0,139.3084818,0,33.09620541,0,70.87583896,9.092211916,0,0,0,0,11.67907366,0,0
DU0038,0,0,0,109.5114607,0,0,120.9308398,0,0,0,901.4541546,0,0,0,0,0,0,0,0,0,0
DU0047,139.9723536,0,242.1570264,1947.949213,123.6953603,0,140.8432422,0,0,0,0,0,318.0241991,79.06038931,0,0,0,0,156.7904674,0,0
DU0058,0,87.38857377,0,18.66762755,92.42347001,0,0,0,100.1037586,0.594983486,0,0,0,0,0,0,0,0,0,1.402542912,0
DU0059,0,46.68463049,0,62.56092926,86.41552006,0,5.387890432,0,397.8326849,0,6.120966714,3.890660911,0,0,0,0,0,0,0,0,0
DU0063,0,9.33673501,0,91.34554131,30.61673022,0,0,0,131.1465329,0,8.263089471,0,0,0,0,0,0,0,0,0,0
DU0064,19.67795694,110.6097903,92.91297287,725.525659,64.75600811,0,51.20812372,0,62.84443609,0,0,0,82.97586623,20.97005852,0,0,0,0,29.44393466,0,0
DU0071,0,113.984021,46.61778014,0,0,0,0,0,19.60673786,0,0,0,0,0,0,0,0,0,0,0,0
DU0074,0,9.658673994,0,5.893904759,110.5135826,0,0,0,129.0352759,0,0,0,0,0,0,0,0,0,0,0,0
DU0076,0,173.5307291,0,32.30708265,9.343694961,0,0,0,135.8960083,0,179.9736052,0,0,0,0,0,0,1.250094551,0,0,0
DU0077,36.19835366,213.4170247,0,21.40548973,128.6966613,9.299154834,0,0,55.54549101,0,0,0,0,0,0,0,0,0,0,0,0
DU0083,0,30.21464705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU0087,0,200.4528051,0,201.880426,74.73378883,0,1.503675827,0,9.022054962,0,3.834927689,0,0,0,0,0,0,0,0,0,0
DU0089,0,229.2396343,0,25.69201053,155.6123341,0,0,0,42.90360719,0,0,0,0,0,0,0,0,0,0,0,0
DU0099,0,17.43670601,0,156.0033614,9.240821095,0,0,0,70.9231544,0,0,0,0,0,0,0,0,0,0,0,0
IT103,245.2311077,104.2158429,10.96021073,450.8378435,30.26771797,0,29.83431475,0,22.72010056,0,137.6587011,0,63.43980971,0,0,0,0,0,0,0,0
IT11,93.24874558,9.837302429,0,130.3470574,0,0,195.4072121,0,0,0,227.3764334,0,16.04591399,0,0,0,0,0,9.78961284,0,0
IT148,175.2037154,0,179.1945559,1738.685861,33.05108991,0,133.3847231,0,67.65327696,0,11.00866933,0,196.9426173,61.98106995,0,0,0,0,28.29003638,0,0
IT173,98.62885921,0,22.29842441,904.2456918,0,0,44.15727092,0,0,0,0,0,122.5671556,0,0,0,0,0,43.34617026,0,0
IT197,0,0,36.85028026,60.16484718,0,0,35.45634301,0,0,0,0,0,29.08690183,0,0,0,0,0,13.9991863,0,0
IT202,0,15.4630088,0,14.26041549,0,0,0,0,34.72308805,0,13.32601724,0,0,0,0,0,0,0,0,0,0
IT222,165.235042,8.593483501,143.2968109,1224.777784,40.01882475,0,126.085084,0,99.09577582,0,21.09869126,0,234.6218729,0,0,0,0,0,94.17152442,0,0
IT226,0,0,0,17.57606208,0,0,0,0,15.74333676,0,0,0,0,0,0,0,0,0,0,0,0
IT230,53.01755624,0,0,11.68962116,0,0,21.9182426,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT236,70.46485215,7.603220933,134.7868849,1362.424062,79.72606875,0,101.8488067,0,8.77669708,0,38.56755654,0,252.680574,170.0033919,0,0,0,0,0,0,0
IT254,0,25.24128061,0,4.580239709,33.20578966,0,0,0,39.812857,0,0,0,0,0,0,0,0,0,0,0,0
IT257,186.7343756,0,56.1558919,998.9864004,21.37061566,0,28.80252187,0,13.70525319,0,30.74565362,0,162.441237,110.0165093,0,0,0,0,29.67979618,0,0
IT261,53.96824957,0,147.1559784,1413.134325,0,0,41.83442174,0,0,0,32.78645526,0,159.4188822,0,0,0,0,0,22.10045009,0,0
IT271,20.12390793,26.53693357,0,45.88640975,11.05625672,0,0,0,48.9818313,0,0,0,25.3568394,0,0,0,0,0,15.20216889,0,0
IT309,0,0,0,41.40126077,92.08206589,0,0,0,135.0414588,0,0,0,18.07729759,0,0,0,0,0,0,0,0
IT311,0,19.5543719,0,19.27728696,77.93676279,0,0,0,200.3980553,0,7.808033805,0,0,0,0,0,0,0,0,0,0
IT315,228.3087547,8.672494352,95.60478727,1334.552736,53.8364224,0,107.518576,0,0,0,33.83784655,0,207.9729924,0,0,0,0,0,62.10791495,0,0
IT323,0,149.5501903,0,75.38730111,11.45516552,0,0,0,109.4116698,0,0,0,0,56.54999481,0,0,0,0,0,0,0
IT337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT338,0,566.4339505,0,271.6463974,0,0,0,0,618.5835309,0,349.5465716,0,0,0,0,0,0,0,0,0,0
IT339,0,0,0,4.410045229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT361,13.09494145,42.36637535,0,6.162165406,21.29461943,0,0,0,48.47044106,0,1.759105082,6.120009044,0,0,0,0,0,0,0,0,0
IT381,42.88345407,10.52596575,20.37157051,319.7357066,6.302561472,0,5.284031689,0,0,0,0,0,20.97853225,0,0,0,0,0,10.47035454,0,0
IT52,95.6523824,15.26616184,48.31763162,451.7145598,12.04123627,0,69.62524264,0,0,0,0,0,53.84340057,29.94342788,0,0,0,0,16.42861711,0,0
IT85,0,0,0,191.9894511,16.61290393,0,11.09037121,0,0,0,14.38589019,0,0,0,0,0,0,0,0,0,0
KL0002,9.255366508,55.78456502,0,28.92916899,1198.757403,0,0,0,1.359612102,0,54.38483799,0,0,0,0,0,0,3.199333986,0,0,0
KL0003,0,107.2426125,0,22.57279768,207.2223842,0,0,0,276.6058399,0,19.74762519,0,0,0,0,0,0,0,0,0,0
KL0004,0,130.4156847,55.14249583,196.3643405,40.21592518,0,25.2571172,0,0,0,0,0,41.37064168,0,0,0,0,0,0,0,0
KL0006,90.66402141,67.80430847,24.0012218,466.3690262,0,0,80.43886694,0,77.69061185,0,151.7071476,0,16.30044474,148.3829103,22.37253263,0,0,0,8.254693074,0,0
KL0007,14.71499607,46.46411251,0,8.573895139,51.21660414,0,0,0,99.67711916,0,0,0,0,0,0,0,0,0,0,0,0
KL0008,0,0,0,0,11.56563809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0009,81.57613002,0,179.4010958,1590.684117,14.59225048,0,87.2026086,0,119.4176717,0,131.1649087,0,145.2201231,0,0,0,0,0,97.49662922,0,0
KL0010,0,25.0490214,0,27.90313089,16.89413325,0,0,0,88.39845137,0,0,0,0,0,0,0,0,0,0,0,0
KL0011,4.178503825,27.09151777,5.459251045,31.22636843,31.20511241,0,0,0,255.4397031,0,0,0,0,0,0,0,0,0,0,0,0
KL0012,386.7075139,55.64721159,109.8100278,632.4387474,58.21048558,0,37.6933316,0,0,0,17.89546285,0,56.39630258,20.4135938,0,0,0,0,20.03770808,0,0
KL0013,416.5149725,86.82800511,139.4086554,887.7587984,104.6123621,0,67.46212159,0,0,0,5.904029795,0,76.65847898,21.38310362,0,0,0,0,11.12932342,0,0
KL0014,482.838196,0,51.32471515,85.54987993,142.6934611,0,0,0,37.73049976,0,57.9716241,0,0,0,16.90165271,0,0,0,0,0,0
KL0016,7.732087328,41.31909722,2.611649812,36.36566297,20.0917443,0,0,0,69.16747782,0,64.3074254,0,0,8.832597216,5.198190518,12.70858193,1.091883717,0,0,0,0
KL0017,0,0,23.61549095,151.5668072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.872759,0,0
KL0018,35.18598145,41.29031156,0,2.856041036,15.02754326,0,184.5660518,0,28.04994219,0,293.4073821,0,0,0,0,23.56111112,0,0,0,0,0
KL0019,0,0,43.48345447,81.94895561,47.86795456,0,0,0,0,0,0,0,11.41903216,0,0,0,0,0,0,0,0
KL0020,0,288.0856971,0,47.44876959,5.532063774,0,0,0,17.53417682,0,3.9119454,0,0,0,0,0,0,0,0,0,0
KL0021,0,282.3061372,0,47.79901197,75.12086459,0,4.313266657,0,25.8623724,0,19.28401536,0,0,0,0,7.001409762,0,0,0,0,0
KL0022,228.4811231,4.289778742,121.2483649,1402.238599,79.54449359,0,100.1130572,0,7.365248914,0,51.89113099,0,157.4882922,68.82910448,0,52.76138145,0,0,51.97573873,0,0
KL0023,0,9.404959449,0,0,0,0,0,0,8.76092429,0,11.61984281,0,0,0,0,0,0,0,0,0,0
KL0024,0,290.7729799,0,14.36563875,179.5276003,0,0,0,3.093849657,0.624657174,67.55882168,0,0,0,0,0,0,0,0,0,0
KL0025,24.17414158,0,10.36251132,114.2499761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0026,0,22.61933276,0,0,34.43438602,0,0,0,61.31025095,0,0,0,0,0,0,0,0,0,0,0,0
KL0027,211.0200443,0,217.2142113,2425.763473,86.55950122,0,165.867881,0,33.38176932,0,99.36876575,0,248.2063727,88.3844826,0,0,0,0,109.51835,0,0
KL0028,0,11.16923749,9.017538447,51.61509955,22.52714887,0,0,0,0,0,36.84121471,0,0,0,0,0,0,0,0,0,0
KL0029,0,21.10486857,0,5.421982252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0031,133.6853079,8.489943441,128.9762967,1516.755956,76.76079193,0,127.0815421,0,53.22527305,0,47.66056342,0,211.5431255,70.22768541,0,0,0,0,62.48243031,0,0
KL0035,6.121122181,0,0.728335623,980.6503058,31.06382831,5.849776307,0.239504784,0,0,0,32.82374899,0,0.522233734,0,0,0,0,0.926119962,0,0,0
KL0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0037,23.60820919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0039,0,14.53965247,0,372.0798903,0,0,0,0,41.71748459,0,172.5082936,0,0,98.42929653,0,0,0,0,0,0,0
KL0040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KL0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBE0003,60.5653259,87.11960989,24.93923952,214.2368268,65.99278941,0,27.84362291,0,158.6668719,0,0,0,9.406760221,0,0,0,0,0,9.69527679,0,0
SBE0004,0,0,34.15702067,644.9744646,17.52988618,0,23.34952101,0,0,0,0,0,70.85556845,0,0,0,0,0,12.1756811,0,0
SBE0006,51.069978,66.78410755,37.11959302,629.5465338,92.52565756,36.657952,46.52253688,50.32505456,122.852244,15.91813385,104.3303958,0,59.8278434,5.700510479,0,0,0,0,12.09580239,0,0
SBE0007,0,58.97288249,0,0,78.64259279,0,0,0,27.64991986,0,110.2139671,2.137642902,0,0,0,0,0,0,0,0,0
SBE0008,0,0,0,502.6533265,0,0,0,0,79.42062173,0,128.3909338,0,0,29.53684456,0,0,0,0,0,0,0
SBE0009,0,0,0,0,0,0,0,0,12.21075294,0,0,0,0,0,0,0,0,0,0,0,0
SBE0010,0,12.7082664,0,3.726579309,42.57278236,0,0,0,134.7788827,0,11.38894431,0,0,0,0,0,0,2.371309314,0,0,0
SBE0011,0,0,0,318.7725944,0,0,0,0,0,0,0,0,0,174.0436695,0,0,0,0,0,0,0
SBE0012,0,0,0,310.5762721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBE0015,0,0,0,59.56894398,0,0,0,0,19.69913837,0,0,0,0,0,0,0,0,0,0,0,0
SBE0018,0,0,0,391.8268248,26.10278386,0,0,0,141.8273246,0,62.69633473,0,0,0,0,0,0,0,0,0,0
SG0001,0,0,0,0,25.63292084,0,0,0,19.20650609,0,0,0,0,0,0,0,0,0,0,0,0
SG0002,0,13.75546243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG0003,0,0,16.5960297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG0006,0,0,0,446.3864168,25.13146856,0,0,0,0,0,37.25483218,0,0,99.04424287,0,0,0,0,0,0,0
SG0012,21.4569573,179.6783258,8.770549742,3.739145622,158.1032176,10.13501847,0,0,5.334783126,0,14.18736932,0,0,0,0,0,0,0,0,0,0
SG0024,0,29.62576882,7.070516697,6.810079446,64.35948467,0,0,0,357.1489254,0,0,6.785249044,0,0,0,4.059696466,0,2.256736789,0,0,0
SG0025,0,0,0,626.0813829,0,0,0,0,31.99636491,0,160.4602529,0,0,145.8604342,0,0,0,0,0,0,0
SG0028,0,0,0,24.85047117,14.86755857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
